True,Predicted,Count
normal,impersonation,121
normal,phone_usage,0
normal,multiple_faces,0
normal,no_face,0
normal,looking_away,0
normal,book_usage,0
normal,obstruction,0
normal,audio_cheating,0
normal,tab_switch,0
phone_usage,audio_cheating,127
phone_usage,normal,0
phone_usage,multiple_faces,0
phone_usage,no_face,0
phone_usage,looking_away,0
phone_usage,book_usage,0
phone_usage,impersonation,0
phone_usage,obstruction,0
phone_usage,tab_switch,0
multiple_faces,looking_away,114
multiple_faces,normal,0
multiple_faces,phone_usage,0
multiple_faces,no_face,0
multiple_faces,book_usage,0
multiple_faces,impersonation,0
multiple_faces,obstruction,0
multiple_faces,audio_cheating,0
multiple_faces,tab_switch,0
no_face,book_usage,125
no_face,normal,0
no_face,phone_usage,0
no_face,multiple_faces,0
no_face,looking_away,0
no_face,impersonation,0
no_face,obstruction,0
no_face,audio_cheating,0
no_face,tab_switch,0
looking_away,no_face,144
looking_away,normal,0
looking_away,phone_usage,0
looking_away,multiple_faces,0
looking_away,book_usage,0
looking_away,impersonation,0
looking_away,obstruction,0
looking_away,audio_cheating,0
looking_away,tab_switch,0
book_usage,phone_usage,138
book_usage,normal,0
book_usage,multiple_faces,0
book_usage,no_face,0
book_usage,looking_away,0
book_usage,impersonation,0
book_usage,obstruction,0
book_usage,audio_cheating,0
book_usage,tab_switch,0
impersonation,multiple_faces,116
impersonation,normal,0
impersonation,phone_usage,0
impersonation,no_face,0
impersonation,looking_away,0
impersonation,book_usage,0
impersonation,obstruction,0
impersonation,audio_cheating,0
impersonation,tab_switch,0
obstruction,obstruction,106
obstruction,normal,0
obstruction,phone_usage,0
obstruction,multiple_faces,0
obstruction,no_face,0
obstruction,looking_away,0
obstruction,book_usage,0
obstruction,impersonation,0
obstruction,audio_cheating,0
obstruction,tab_switch,0
audio_cheating,normal,118
audio_cheating,phone_usage,0
audio_cheating,multiple_faces,0
audio_cheating,no_face,0
audio_cheating,looking_away,0
audio_cheating,book_usage,0
audio_cheating,impersonation,0
audio_cheating,obstruction,0
audio_cheating,tab_switch,0
tab_switch,tab_switch,136
tab_switch,normal,0
tab_switch,phone_usage,0
tab_switch,multiple_faces,0
tab_switch,no_face,0
tab_switch,looking_away,0
tab_switch,book_usage,0
tab_switch,impersonation,0
tab_switch,obstruction,0
tab_switch,audio_cheating,0
